CreditUnion,Link,Rates(30Years),BestRate
ACT1stFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=19A8538A-275B-48C3-B178-135960E426A5,30YearFixed-5.500%|5/5YearARM-5.250%|Jumbo30YearFixed-6.500%,5/5YearARM-5.250%
AdvantageFinancialFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=89A7CB7E-CA50-420E-A902-A60DF2A870BD,30YearFixed-5.500%|15/15ARM1-5.125%|Jumbo30YearFixed-6.500%,15/15ARM1-5.125%
AFLCIOEmployeesFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=C1F6DBB4-762D-4B27-9741-459D6025E2B2,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
AgricultureFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=6E5CC923-F933-40CA-B1B0-A20A68D95F94,30YearFixed-5.875%,30YearFixed-5.875%
AmericanPartnersFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=35C5411C-7A2C-4B22-BD97-02FC6D8A5BCE,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
AndrewsFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=62164F8D-49F1-47B5-895E-4C4F7558EF83,None,None
APCIFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=F4E0E245-3E84-414B-82ED-D879425EE640,30YearFixed-6.000%|Jumbo30YearFixed-6.625%,30YearFixed-6.000%
APLFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=C9796FA5-9A5E-4F21-824D-F88F5CF17F28,30YearFixed-5.875%|5/5YearARM-5.500%|Jumbo30YearFixed-6.500%,5/5YearARM-5.500%
APLFederalCreditUnionHomeEquity,https://mortgages.cumortgage.net/default.asp?siteId=432AF8BF-268B-4EE9-985E-849DC58D73EF,None,None
AppleFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=3A1B0044-C042-4C1D-ADC6-984B4E4AE66E,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
ArlingtonCommunityFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=EFE2F354-28CC-4C97-9690-04B28CE15AD7,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
AutotruckFinancialCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=A7FC4327-2340-45D1-AF41-4127E7EB9BEA,30YearFixed-5.500%|15/15ARM1-4.875%|Jumbo30YearFixed-6.500%,15/15ARM1-4.875%
BeachMunicipalFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=254A10C8-8BC6-48BE-B89D-C1ADA101EB65,30YearFixed-5.875%|7/1YearARM-5.875%|5/1YearARM-5.875%|3/1YearARM-7.875%,30YearFixed-5.875%
BlackstoneRiverFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=70B8287F-21B7-4EA5-B48B-0F21609154B5,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
BraggMutualFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=61976FE1-B5E2-4F2A-A159-9385FC8A3A2A,5/1YearARM-5.875%|30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
BrownFormanEmployeesCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=6CC9B22B-FD9B-47BB-BF8C-98123B2BA5BD,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
CanandaiguaFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=BA4B8C2F-8B87-4326-B309-19B7801636EE,30YearFixed-5.500%,30YearFixed-5.500%
CensusFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=652FCC4F-51F6-4674-92E7-D6C19F1EFC02,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
ChessieFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=B7F133AA-1CD3-4152-849C-9A4B370F9A98,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
CivicFCUEmployeesOnly,https://mortgages.cumortgage.net/default.asp?siteId=2A907B66-4776-41AA-9272-79894AB26397,30YearFixed-5.875%|10/1YearARM-6.000%|5/1YearARM-5.875%,30YearFixed-5.875%
CivicFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=4087C423-821C-451F-92DD-EE5E931B7E99,30YearFixed-5.875%|10/1YearARM-6.000%|5/1YearARM-5.875%,30YearFixed-5.875%
CreditUnionEmployeesOnly,https://mortgages.cumortgage.net/default.asp?siteId=9D872503-B0A8-4552-9749-425F3197E743,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
CreditUnionMortgage,https://mortgages.cumortgage.net/default.asp?siteId=2B8C95D8-7B93-4949-BF83-DBAD2514C6CB,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
CreditUnionMortgageRetail,https://mortgages.cumortgage.net/default.asp?siteId=C0914E58-C400-4F9B-B78C-C41C5A04E17A,15/15ARM1-5.250%|30YearFixed-5.500%|Jumbo30YearFixed-6.500%,15/15ARM1-5.250%
CUMAEmployeesOnly,https://mortgages.cumortgage.net/default.asp?siteId=0FB50884-39D7-4F58-B428-F48302A5DBC2,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
CUMALSI,https://mortgages.cumortgage.net/default.asp?siteId=E415A428-4A9A-4C53-B75A-3B14E5C117C0,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
DakotaPlainsFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=24913549-04D0-4A65-8FA8-FD788A533FC4,30YearFixed-5.500%|Jumbo30YearFixed-6.500%,30YearFixed-5.500%
DCFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=AA35CE55-E768-48F1-A3CD-9407521E7CA6,30YearFixed-5.875%|5/5YearARM-5.250%|7/1YearARM-5.250%,5/5YearARM-5.250%
DemocracyFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=671706E8-76E9-45CB-AC00-DB9F7A50FD77,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
DestinationsCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=A7476438-8CE5-4015-A01E-5A027FA6957D,30YearFixed-5.875%|5/5ARM-5.250%|Jumbo30YearFixed-6.500%,5/5ARM-5.250%
EPFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=F5855795-99A7-4FFC-8B96-7408D2340B5E,30YearFixed-5.875%|7/1YearARM-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
FRBFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=762E3A02-114D-48C2-95E3-2069380F6125,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
FAAFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=0B09E938-2D30-4482-87C4-F0B636AB737D,30YearFixed-5.875%|10/1YearARM-5.625%|7/1YearARM-5.250%,7/1YearARM-5.250%
FedChoiceFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=493F19CB-9B4C-4F01-8807-241987166E35,30YearFixed-5.875%|Jumbo30YearFixed-6.500%,30YearFixed-5.875%
FieldstoneCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=85FD3DC2-B23A-4F65-A6D5-88B4748F8748,30YearFixed-5.500%,30YearFixed-5.500%
FirefightersFirstFederalCreditUnion,https://mortgages.cumortgage.net/default.asp?siteId=3799D442-E132-494D-9271-CAF0F83DCD70,30YearFixed-6.125%|5/5ARM-5.750%,5/5ARM-5.750%
